iter	Passed	Remaining
318	513	1097
319	514	1094
320	516	1091
321	517	1088
322	518	1086
323	519	1083
324	521	1082
325	522	1080
326	523	1077
327	524	1074
328	525	1071
329	526	1068
330	527	1065
331	528	1062
332	529	1059
333	530	1057
334	531	1054
335	532	1051
336	533	1049
337	534	1046
338	535	1044
339	536	1041
340	537	1039
341	538	1036
342	539	1033
343	540	1030
344	541	1027
345	542	1025
346	543	1022
347	543	1019
348	544	1016
349	545	1013
350	546	1010
351	547	1008
352	548	1006
353	550	1004
354	551	1002
355	552	1000
356	553	997
357	554	995
358	555	992
359	556	989
360	557	986
361	558	983
362	559	981
363	559	978
364	560	975
365	561	973
366	563	971
367	565	970
368	566	968
369	567	966
370	568	964
371	569	961
372	570	959
373	571	956
374	572	953
375	572	950
376	573	948
377	574	945
378	575	943
379	576	940
380	578	939
381	580	938
382	581	936
383	582	934
384	583	932
385	584	929
386	585	927
387	586	924
388	587	922
389	588	919
390	588	917
391	589	914
392	590	912
393	592	910
394	594	910
395	595	908
396	596	906
397	597	903
398	598	901
399	599	899
400	600	896
401	601	894
402	602	891
403	602	889
404	603	887
405	604	885
406	606	883
407	608	882
408	609	880
409	610	878
410	611	876
411	612	874
412	613	872
413	614	869
414	615	867
415	616	865
416	617	862
417	617	860
418	619	858
419	620	856
420	622	856
421	623	854
422	624	852
423	625	850
424	626	847
425	627	845
426	628	843
427	629	841
428	630	838
429	630	836
430	631	834
431	633	832
432	634	830
433	636	830
434	638	828
435	639	826
436	639	824
437	641	822
438	641	820
439	642	818
440	643	815
441	644	813
442	645	811
443	646	809
444	647	807
445	648	805
446	650	804
447	651	802
448	652	801
449	653	798
450	654	796
451	655	794
452	656	792
453	657	790
454	657	788
455	658	785
456	659	783
457	660	781
458	661	779
459	662	777
460	663	776
461	665	775
462	667	773
463	668	771
464	669	769
465	670	767
466	670	765
467	671	763
468	672	761
469	673	759
470	674	757
471	675	755
